domain,sector
repubblica.it,news
corriere.it,news
lastampa.it,news
ilmessaggero.it,news
ilmattino.it,news
ilgiornale.it,news
ilfattoquotidiano.it,news
fanpage.it,news
ansa.it,news
adnkronos.com,news
agi.it,news
askanews.it,news
ilpost.it,news
huffingtonpost.it,news
open.online,news
linkiesta.it,news
ilfoglio.it,news
avvenire.it,news
liberoquotidiano.it,news
iltempo.it,news
ilsecoloxix.it,news
ilgazzettino.it,news
leggo.it,news
lanazione.it,news
ilrestodelcarlino.it,news
ilgiorno.it,news
quotidiano.net,news
gazzettadelsud.it,news
lasicilia.it,news
giornaledisicilia.it,news
unionesarda.it,news
lanuovasardegna.it,news
iltirreno.it,news
gazzettadiparma.it,news
ecodibergamo.it,news
giornaledibrescia.it,news
messaggeroveneto.it,news
varesenews.it,news
bergamonews.it,news
dire.it,news
tpi.it,news
rainews.it,news
tgcom24.mediaset.it,news
la7.it,news
editorialedomani.it,news
internazionale.it,news
valigiablu.it,news
ilmanifesto.it,news
ilriformista.it,news
italiaoggi.it,news
milanofinanza.it,news
ilsole24ore.com,news
teleborsa.it,news
affaritaliani.it,news
dagospia.com,news
gazzetta.it,news
corrieredellosport.it,news
tuttosport.com,news
calciomercato.com,news
tuttomercatoweb.com,news
diretta.it,news
transfermarkt.it,news
eurosport.it,news
giroditalia.it,news
wired.it,news
hdblog.it,news
tomshw.it,news
dday.it,news
ilsoftware.it,news
hwupgrade.it,news
punto-informatico.it,news
amazon.it,ecommerce
ebay.it,ecommerce
zalando.it,ecommerce
vinted.it,ecommerce
subito.it,ecommerce
bakeca.it,ecommerce
trovaprezzi.it,ecommerce
idealo.it,ecommerce
eprice.it,ecommerce
unieuro.it,ecommerce
mediaworld.it,ecommerce
euronics.it,ecommerce
trony.it,ecommerce
yeppon.it,ecommerce
ibs.it,ecommerce
lafeltrinelli.it,ecommerce
mondadoristore.it,ecommerce
hoepli.it,ecommerce
libraccio.it,ecommerce
abebooks.it,ecommerce
decathlon.it,ecommerce
leroymerlin.it,ecommerce
tecnomat.it,ecommerce
obi-italia.it,ecommerce
bricofer.it,ecommerce
manomano.it,ecommerce
lidl.it,ecommerce
esselunga.it,ecommerce
carrefour.it,ecommerce
conad.it,ecommerce
eataly.it,ecommerce
cortilia.it,ecommerce
tannico.it,ecommerce
vino.com,ecommerce
callmewine.com,ecommerce
bottegaverde.it,ecommerce
douglas.it,ecommerce
sephora.it,ecommerce
notino.it,ecommerce
pinalli.it,ecommerce
kikocosmetics.com,ecommerce
farmae.it,ecommerce
luisaviaroma.com,ecommerce
yoox.com,ecommerce
ovs.it,ecommerce
upim.com,ecommerce
rinascente.it,ecommerce
terranovastyle.com,ecommerce
piazzaitalia.it,ecommerce
benetton.com,ecommerce
calzedonia.com,ecommerce
intimissimi.com,ecommerce
tezenis.com,ecommerce
arcaplanet.it,ecommerce
maxizoo.it,ecommerce
zooplus.it,ecommerce
westwing.it,ecommerce
autoscout24.it,ecommerce
automobile.it,ecommerce
moto.it,ecommerce
governo.it,pa
quirinale.it,pa
senato.it,pa
camera.it,pa
gazzettaufficiale.it,pa
normattiva.it,pa
esteri.it,pa
interno.gov.it,pa
giustizia.it,pa
difesa.it,pa
mef.gov.it,pa
mimit.gov.it,pa
mur.gov.it,pa
istruzione.it,pa
salute.gov.it,pa
lavoro.gov.it,pa
mase.gov.it,pa
cultura.gov.it,pa
mit.gov.it,pa
masaf.gov.it,pa
poliziadistato.it,pa
carabinieri.it,pa
gdf.gov.it,pa
vigilfuoco.it,pa
inps.it,pa
inail.it,pa
agenziaentrate.gov.it,pa
adm.gov.it,pa
istat.it,pa
bancaditalia.it,pa
consob.it,pa
ivass.it,pa
agcom.it,pa
arera.it,pa
garanteprivacy.it,pa
agid.gov.it,pa
aifa.gov.it,pa
iss.it,pa
cnr.it,pa
aci.it,pa
pagopa.gov.it,pa
ilportaledellautomobilista.it,pa
gse.it,pa
regione.lombardia.it,pa
regione.lazio.it,pa
regione.veneto.it,pa
regione.piemonte.it,pa
regione.puglia.it,pa
regione.emilia-romagna.it,pa
regione.toscana.it,pa
regione.campania.it,pa
regione.liguria.it,pa
regione.marche.it,pa
regione.abruzzo.it,pa
regione.calabria.it,pa
regione.sardegna.it,pa
regione.sicilia.it,pa
regione.fvg.it,pa
regione.umbria.it,pa
regione.basilicata.it,pa
regione.molise.it,pa
regione.vda.it,pa
provincia.tn.it,pa
provincia.bz.it,pa
comune.roma.it,pa
comune.milano.it,pa
comune.napoli.it,pa
comune.torino.it,pa
comune.palermo.it,pa
comune.genova.it,pa
comune.bologna.it,pa
comune.firenze.it,pa
comune.bari.it,pa
comune.catania.it,pa
comune.venezia.it,pa
comune.verona.it,pa
comune.messina.it,pa
comune.padova.it,pa
comune.trieste.it,pa
comune.brescia.it,pa
comune.parma.it,pa
comune.prato.it,pa
comune.modena.it,pa
comune.perugia.it,pa
comune.cagliari.it,pa
intesasanpaolo.com,banking_insurance
unicredit.it,banking_insurance
bancobpm.it,banking_insurance
bper.it,banking_insurance
mps.it,banking_insurance
credem.it,banking_insurance
popso.it,banking_insurance
bancaifis.it,banking_insurance
mediobanca.com,banking_insurance
mediobancapremier.com,banking_insurance
finecobank.com,banking_insurance
ing.it,banking_insurance
bancamediolanum.it,banking_insurance
widiba.it,banking_insurance
sella.it,banking_insurance
bancagenerali.it,banking_insurance
bnl.it,banking_insurance
credit-agricole.it,banking_insurance
deutsche-bank.it,banking_insurance
poste.it,banking_insurance
nexi.it,banking_insurance
satispay.com,banking_insurance
hype.it,banking_insurance
scalapay.com,banking_insurance
moneyfarm.com,banking_insurance
directa.it,banking_insurance
borsaitaliana.it,banking_insurance
mutuionline.it,banking_insurance
facile.it,banking_insurance
segugio.it,banking_insurance
prestitionline.it,banking_insurance
generali.it,banking_insurance
unipol.it,banking_insurance
unipolsai.it,banking_insurance
allianz.it,banking_insurance
axa.it,banking_insurance
zurich.it,banking_insurance
realemutua.it,banking_insurance
vittoriaassicurazioni.com,banking_insurance
genertel.it,banking_insurance
quixa.it,banking_insurance
prima.it,banking_insurance
verti.it,banking_insurance
conte.it,banking_insurance
linear.it,banking_insurance
allianzdirect.it,banking_insurance
groupama.it,banking_insurance
helvetia.it,banking_insurance
gruppoitas.it,banking_insurance
humanitas.it,health
grupposandonato.it,health
policlinicogemelli.it,health
hsr.it,health
auxologico.it,health
ieo.it,health
ospedalebambinogesu.it,health
gaslini.org,health
meyer.it,health
multimedica.it,health
gvmnet.it,health
ospedaleniguarda.it,health
airc.it,health
fondazioneveronesi.it,health
telethon.it,health
my-personaltrainer.it,health
miodottore.it,health
dottori.it,health
idoctors.it,health
paginemediche.it,health
medicitalia.it,health
pazienti.it,health
nurse24.it,health
quotidianosanita.it,health
issalute.it,health
vaccinarsi.org,health
uppa.it,health
ok-salute.it,health
farmacosmo.it,health
efarma.com,health
1000farmacie.it,health
farmaciauno.it,health
docpeter.it,health
farmacialoreto.it,health
amicafarmacia.com,health
drmax.it,health
federfarma.it,health
fnomceo.it,health
fofi.it,health
trenitalia.com,travel_tourism
lefrecce.it,travel_tourism
italotreno.com,travel_tourism
trenord.it,travel_tourism
flixbus.it,travel_tourism
itabus.it,travel_tourism
marinobus.it,travel_tourism
ita-airways.com,travel_tourism
aeroitalia.com,travel_tourism
adr.it,travel_tourism
moby.it,travel_tourism
tirrenia.it,travel_tourism
gnv.it,travel_tourism
snav.it,travel_tourism
grimaldi-lines.com,travel_tourism
traghettilines.it,travel_tourism
directferries.it,travel_tourism
edreams.it,travel_tourism
opodo.it,travel_tourism
volagratis.com,travel_tourism
lastminute.com,travel_tourism
skyscanner.it,travel_tourism
expedia.it,travel_tourism
tripadvisor.it,travel_tourism
thefork.it,travel_tourism
italia.it,travel_tourism
sardegnaturismo.it,travel_tourism
visittuscany.com,travel_tourism
visittrentino.info,travel_tourism
suedtirol.info,travel_tourism
veneto.eu,travel_tourism
in-lombardia.it,travel_tourism
visitpiemonte.com,travel_tourism
emiliaromagnaturismo.it,travel_tourism
viaggiareinpuglia.it,travel_tourism
visitlazio.com,travel_tourism
visitsicily.info,travel_tourism
touringclub.it,travel_tourism
siviaggia.it,travel_tourism
turistipercaso.it,travel_tourism
viamichelin.it,travel_tourism
agriturismo.it,travel_tourism
casevacanza.it,travel_tourism
campeggi.com,travel_tourism
bestwestern.it,travel_tourism
gruppouna.it,travel_tourism
nh-hotels.it,travel_tourism
starhotels.com,travel_tourism
uffizi.it,travel_tourism
pompeiisites.org,travel_tourism
museoegizio.it,travel_tourism
pinacotecabrera.org,travel_tourism
colosseo.it,travel_tourism
immobiliare.it,real_estate
casa.it,real_estate
idealista.it,real_estate
wikicasa.it,real_estate
tecnocasa.it,real_estate
gabetti.it,real_estate
remax.it,real_estate
tempocasa.it,real_estate
professionecasa.it,real_estate
toscano.it,real_estate
fondocasa.it,real_estate
casavo.com,real_estate
dovevivo.com,real_estate
facileristrutturare.it,real_estate
habitissimo.it,real_estate
instapro.it,real_estate
edilportale.com,real_estate
infobuild.it,real_estate
lavorincasa.it,real_estate
cosedicasa.com,real_estate
borsinoimmobiliare.it,real_estate
monitorimmobiliare.it,real_estate
requadro.com,real_estate
scenari-immobiliari.it,real_estate
nomisma.it,real_estate
luxuryestate.com,real_estate
treccani.it,publishing_education
mondadori.it,publishing_education
feltrinelli.it,publishing_education
einaudi.it,publishing_education
adelphi.it,publishing_education
sellerio.it,publishing_education
laterza.it,publishing_education
ilmulino.it,publishing_education
zanichelli.it,publishing_education
loescher.it,publishing_education
deagostini.it,publishing_education
giunti.it,publishing_education
garzanti.it,publishing_education
longanesi.it,publishing_education
salani.it,publishing_education
edizionipiemme.it,publishing_education
marsilioeditori.it,publishing_education
minimumfax.com,publishing_education
edizionisur.it,publishing_education
nottetempo.it,publishing_education
edizionieo.it,publishing_education
ilsaggiatore.com,publishing_education
neripozza.it,publishing_education
bollatiboringhieri.it,publishing_education
unibo.it,publishing_education
unimi.it,publishing_education
uniroma1.it,publishing_education
uniroma2.it,publishing_education
uniroma3.it,publishing_education
polimi.it,publishing_education
polito.it,publishing_education
unito.it,publishing_education
unipd.it,publishing_education
unina.it,publishing_education
unifi.it,publishing_education
unipi.it,publishing_education
unive.it,publishing_education
unige.it,publishing_education
univr.it,publishing_education
unitn.it,publishing_education
units.it,publishing_education
unimib.it,publishing_education
unibg.it,publishing_education
unibs.it,publishing_education
unisa.it,publishing_education
uniba.it,publishing_education
unict.it,publishing_education
unipa.it,publishing_education
unical.it,publishing_education
unicatt.it,publishing_education
luiss.it,publishing_education
unibocconi.it,publishing_education
sns.it,publishing_education
santannapisa.it,publishing_education
uniecampus.it,publishing_education
unicusano.it,publishing_education
unimarconi.it,publishing_education
uninettunouniversity.net,publishing_education
skuola.net,publishing_education
studenti.it,publishing_education
docsity.com,publishing_education
redooc.com,publishing_education
weschool.com,publishing_education
orizzontescuola.it,publishing_education
tecnicadellascuola.it,publishing_education
tuttoscuola.com,publishing_education
portaleargo.it,publishing_education
madisoft.it,publishing_education
cineca.it,publishing_education
tim.it,telco_utilities
vodafone.it,telco_utilities
windtre.it,telco_utilities
iliad.it,telco_utilities
fastweb.it,telco_utilities
tiscali.it,telco_utilities
eolo.it,telco_utilities
sky.it,telco_utilities
postemobile.it,telco_utilities
kenamobile.it,telco_utilities
verymobile.it,telco_utilities
coopvoce.it,telco_utilities
homobile.it,telco_utilities
aruba.it,telco_utilities
register.it,telco_utilities
seeweb.it,telco_utilities
netsons.com,telco_utilities
serverplan.com,telco_utilities
enel.it,telco_utilities
eni.com,telco_utilities
eniplenitude.com,telco_utilities
a2a.it,telco_utilities
gruppohera.it,telco_utilities
gruppoiren.it,telco_utilities
acea.it,telco_utilities
edison.it,telco_utilities
sorgenia.it,telco_utilities
engie.it,telco_utilities
octopusenergy.it,telco_utilities
eon-energia.com,telco_utilities
pulsee.it,telco_utilities
wekiwi.it,telco_utilities
illumia.it,telco_utilities
dolomitienergia.it,telco_utilities
terna.it,telco_utilities
snam.it,telco_utilities
italgas.it,telco_utilities
aqp.it,telco_utilities
gruppocap.it,telco_utilities
smatorino.it,telco_utilities
abbanoa.it,telco_utilities
sostariffe.it,telco_utilities
selectra.net,telco_utilities
switcho.it,telco_utilities
rai.it,media_lifestyle
raiplay.it,media_lifestyle
mediaset.it,media_lifestyle
comingsoon.it,media_lifestyle
mymovies.it,media_lifestyle
movieplayer.it,media_lifestyle
badtaste.it,media_lifestyle
everyeye.it,media_lifestyle
multiplayer.it,media_lifestyle
spaziogames.it,media_lifestyle
rockol.it,media_lifestyle
rollingstone.it,media_lifestyle
allmusicitalia.it,media_lifestyle
radioitalia.it,media_lifestyle
deejay.it,media_lifestyle
rtl.it,media_lifestyle
rds.it,media_lifestyle
virginradio.it,media_lifestyle
giallozafferano.it,media_lifestyle
cucchiaio.it,media_lifestyle
misya.info,media_lifestyle
fattoincasadabenedetta.it,media_lifestyle
cookist.it,media_lifestyle
dissapore.com,media_lifestyle
gamberorosso.it,media_lifestyle
agrodolce.it,media_lifestyle
ilmeteo.it,media_lifestyle
3bmeteo.it,media_lifestyle
meteo.it,media_lifestyle
vanityfair.it,media_lifestyle
vogue.it,media_lifestyle
grazia.it,media_lifestyle
iodonna.it,media_lifestyle
amica.it,media_lifestyle
dilei.it,media_lifestyle
alfemminile.com,media_lifestyle
donnamoderna.com,media_lifestyle
nostrofiglio.it,media_lifestyle
pianetamamma.it,media_lifestyle
ticketone.it,media_lifestyle
ticketmaster.it,media_lifestyle
vivaticket.com,media_lifestyle
aranzulla.it,media_lifestyle
virgilio.it,media_lifestyle
libero.it,media_lifestyle
paginegialle.it,media_lifestyle
paginebianche.it,media_lifestyle
